ProductID,ProductOracleSerial,ProductModelNO,ProductMPN,CategoryId,CategoryName,FamilyId,FamilyName,ProductCategoryID,ProductCategoryName,RmsCategoryId,RmsFamilyId,RmsSubfamilyId,BrandID,BrandName,BrandNameA,BrandNameE,ProductNameE,ProductDescriptionE,ProductSmallDescriptionE,ProductNameA,ProductDescriptionA,ProductSmallDescriptionA,Url360Ar,Url360En,ProductImageLargePath,ProductImageSmallPath,VideoUrlAr,VideoUrlEn,ProductSize
183563,183563,1062,1062,994,Computing,9940021,Accessories,99400210135,Care & Cleaning,2,626,11,0,PANZERGLASS,????? ????,PANZERGLASS,PanzerGlass Screen Protector for iPad Pro,1062--PanzerGlass Screen Protector for iPad Pro,PanzerGlass Screen Protector for iPad Pro,????? ???? ???? ?????? ?????? ???,????? ???? ???? ?????? ?????? ???,????? ???? ???? ?????? ?????? ???,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/408/9982291_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/408/9982291_L_1_2.jpg,NULL,NULL,S
169490,169490,4573,4573,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,9,0,SONY,????,SONY,Sony PS4 Controller Charge Cable,4573--Sony PS4 Controller Charge Cable,Sony PS4 Controller Charge Cable,???? ???? ??? ????? ???? ???? ????? 4,???? ???? ??? ????? ???? ???? ????? 4 ,???? ???? ??? ????? ???? ???? ????? 4 ,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/9966116_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/9966116_L_1_2.jpg,NULL,NULL,S
169491,169491,9655,9655,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,11,0,OTHERS,????,OTHERS,Sony PS4 Carry Bag,9655--Sony PS4 Carry Bag,Sony PS4 Carry Bag,???? ????? ???? ????? 4,???? ????? ???? ????? 4 ,???? ????? ???? ????? 4 ,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/9966121_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/9966121_L_1_2.jpg,NULL,NULL,S
169493,169493,9661,9661,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,9,0,SONY,????,SONY,Sony PS4 HDMI Cable,9661--Sony PS4 HDMI Cable,9661--Sony PS4 HDMI Cable,???? ???? HDMI ???? ????? 4,???? ???? HDMI ???? ????? 4 ,???? ???? HDMI ???? ????? 4 ,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/9966122_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/9966122_L_1_2.jpg,NULL,NULL,S
100008862,100008862,28440,28440,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,1,0,OTHERS,????,OTHERS,PS4 controller charging stand. With LED light indicator showing charge status,28440--PS4 Controller Charging Stand with LED Light Indicator Showing Charge Status,28440--PS4 Controller Charging Stand with LED Light Indicator Showing Charge Status,????? ???? ?? ????? ?????4. ?? ???? ????? ?? ?? ?? ?????? ???? ?????,????? ???? ?? ????? ?????4. ?? ???? ????? ?? ?? ?? ?????? ???? ?????,????? ???? ?? ????? ?????4. ?? ???? ????? ?? ?? ?? ?????? ???? ?????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100008862_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100008862_L_1_2.jpg,,,S
138419,138419,50019,50019,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,12,0,OTHERS,????,OTHERS,PS3 - Dualshock Joystick (US),50019--PS3 - Dualshock Joystick (US),PS3 - Dualshock Joystick (US),PS3 - Dualshock Joystick (US),PS3 - Dualshock Joystick (US),???? ????? 3    ??? ????? ???? ???  ???????? ???????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/999273_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/999273_L_1_2.jpg,NULL,NULL,S
100031502,100031502,135071,135071,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,PORT,????,PORT,"PORT DESIGN SYDNEY Topload 13-14 inch, Black","135071--PORT DESIGN SYDNEY Topload 13-14 inch, Black","PORT DESIGN SYDNEY Topload 13-14 inch, Black","????? ??? ??? 13-14 ????, ????","????? ??? ??? 13-14 ????, ????","????? ??? ??? 13-14 ????, ????",NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100031502_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100031502_L_1_2.jpg,,,S
181711,181711,201502,201502,993,Gaming,9930012,Accessories,99300120090,PlayStation,13,1305,1,0,OTHERS,????,OTHERS,PS4 Charging Stand,201502--PS4 Charging Stand,PS4 Charging Stand,????? ???? ????? 4 ?????? ? 2 ????,????? ???? ????? 4 ?????? ? 2 ???? ? 3 ?? ?? ??,????? ???? ????? 4 ?????? ? 2 ???? ? 3 ?? ?? ??,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/350/9980468_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/350/9980468_L_1_2.jpg,NULL,NULL,S
100036080,100036080,802000,802000,991,TV & Home Cinema,9910003,Accessories,99100030014,Other Accessories,1,106,7,0,OTHERS,???????,,Meliconi Universal 4 In 1 Remote Control Unit For Smart TV,802000--Meliconi Universal 4 in 1 remote control unit for smart TV with QWERTY keyboard,802000--Meliconi Universal 4 in 1 remote control unit for smart TV with QWERTY keyboard,??????? ????? ?? ?????? 4 ?? 1 ?????? ????????? ?????,??????? ????? ?? ?????? 4 ?? 1 ?????? ????????? ?????,??????? ????? ?? ?????? 4 ?? 1 ?????? ????????? ?????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100036080_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100036080_L_1_2.jpg,,,S
100031628,100031628,900124,900124,994,Computing,9940021,Accessories,99400210134,Cables,3,606,18,0,PORT,????,PORT,PORT DESIGN USB Type C to HDMI Converter,900124--PORT DESIGN USB Type C to HDMI Converter,PORT DESIGN USB Type C to HDMI Converter,???? ?? ???? ?? ??? ??? ?? ?? ??,???? ?? ???? ?? ??? ??? ?? ?? ??,???? ?? ???? ?? ??? ??? ?? ?? ??,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100031628_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100031628_L_1_2.jpg,,,S
100031587,100031587,900125,900125,994,Computing,9940021,Accessories,99400210134,Cables,3,606,18,0,PORT,????,PORT,PORT DESIGN Converter Type C to VGA,900125--PORT DESIGN Converter Type C to VGA,PORT DESIGN Converter Type C to VGA,???? ?? ???? ?? ??? ????,???? ?? ???? ?? ??? ????,???? ?? ???? ?? ??? ????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100031587_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100031587_L_1_2.jpg,,,S
100031033,100031033,900133,900133,994,Computing,9940021,Accessories,99400210134,Cables,3,606,18,0,PORT,????,PORT,"PORT Design Converter USB Type C to USB 3.0, Black","900133--PORT Design Converter USB Type C to USB 3.0, Black","PORT Design Converter USB Type C to USB 3.0, Black",???? ?? ???? ?? ??? ?? ?? ??,???? ?? ???? ?? ??? ?? ?? ??,???? ?? ???? ?? ??? ?? ?? ??,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100031033_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100031033_L_1_2.jpg,,,S
100011759,100011759,22040275,22040275,994,Computing,9940021,Accessories,99400210133,Bags & Cases,2,626,13,0,HUAWEI,?????,HUAWEI,"Huawei Mediapad M3 Flip Cover, Brown","22040275-- Huawei Mediapad M3 Flip Cover, Nylon / Polyurethane PU, Brown Color","Huawei Mediapad M3 Flip Cover, Nylon / Polyurethane PU, Brown Color",????? ????? ????? ??? ?? 3? ???,????? ????? ????? ??? ?? 3? ?????? / ???? ???????? ???,????? ????? ????? ??? ?? 3? ?????? / ???? ???????? ???,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100011759_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100011759_L_1_2.jpg,,,S
100011755,100011755,51990975,51990975,994,Computing,9940021,Accessories,99400210133,Bags & Cases,2,626,13,0,HUAWEI,?????,HUAWEI,"Huawei MediaPad T1-7 Flip Cover, Grey","51990975-- Huawei MediaPad T1-7 Flip Cover, Nylon / Polyurethane PU, Grey Color","Huawei MediaPad T1-7 Flip Cover, Nylon / Polyurethane PU, Grey Color",????? ????? ????? ??? ??1-7? ?????,????? ????? ????? ??? ??1-7? ?????? / ???? ???????? ?????,????? ????? ????? ??? ??1-7? ?????? / ???? ???????? ?????,https://embed.imajize.com/6628286?lang=ar,https://embed.imajize.com/6628286?lang=en,http://cdn.extrastores.com/ImagesSections/product/100011755_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100011755_L_1_2.jpg,,,S
100011760,100011760,51991963,51991963,994,Computing,9940021,Accessories,99400210133,Bags & Cases,2,626,13,0,HUAWEI,?????,HUAWEI,"Huawei Mediapad T3-8 Flip Cover, Brown","51991963-- Huawei Mediapad T3-8 Flip Cover, Nylon / Polyurethane PU, Brown Color","Huawei Mediapad T3-8 Flip Cover, Nylon / Polyurethane PU, Brown Color",????? ????? ????? ??? ??3-8? ???,????? ????? ????? ??? ??3-8? ?????? / ???? ???????? ???,????? ????? ????? ??? ??3-8? ?????? / ???? ???????? ???,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100011760_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100011760_L_1_2.jpg,,,S
100011761,100011761,51991966,51991966,994,Computing,9940021,Accessories,99400210133,Bags & Cases,2,626,13,0,HUAWEI,?????,HUAWEI,"Huawei Mediapad T3-10 Flip Cover, Brown","51991966--Huawei Mediapad T3-10 Flip Cover, Nylon / Polyurethane PU, Brown Color","Huawei Mediapad T3-10 Flip Cover, Nylon / Polyurethane PU, Brown Color",????? ????? ????? ??? ??3-10? ???,????? ????? ????? ??? ??3-10? ?????? / ???? ???????? ???,????? ????? ????? ??? ??3-10? ?????? / ???? ???????? ???,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100011761_L_1.jpg,http://cdn.extrastores.com/ImagesSections/product/100011761_L_1_2.jpg,,,S
100004767,100004767,1100037250,1100037250,994,Computing,9940021,Accessories,99400210133,Bags & Cases,3,606,13,0,DELL,????,DELL,"DELL 88W9X Bag Essential BackPack, 15inch, 6-460-BBV","1100037250--DELL 88W9X Bag Essential BackPack, 15inch, 6-460-BBV","DELL 88W9X Bag Essential BackPack, 15inch, 6-460-BBV",??? ????? ??? 15 ???? ????????? ???????,??? ????? ??? 15 ???? ????????? ???????,??? ????? ??? 15 ???? ????????? ???????,NULL,NULL,http://cdn.extrastores.com/ImagesSections/product/100004767_L_1.6.jpg,http://cdn.extrastores.com/ImagesSections/product/100004767_L_1.6_2.jpg,,,S
